['..\\..\\..\\git\\vrep-control-loop\\vrep-control-loop\\res\\equivalencesegmentationtest\\segmentationprogression\\sampleWholeRoute.pyplot', '..\\..\\..\\git\\vrep-control-loop\\vrep-control-loop\\res\\equivalencesegmentationtest\\segmentationprogression\\sampleWholeRouteSegmentation.pyplot']
True
theta1: 0.151554, theta2: 0.102829, dir: right, idx: 239
theta1: 0.1474, theta2: 0.104282, dir: right, idx: 240
theta1: 0.14481, theta2: 0.104173, dir: right, idx: 241
theta1: 0.140423, theta2: 0.105861, dir: right, idx: 242
theta1: 0.137331, theta2: 0.106253, dir: right, idx: 243
theta1: 0.132668, theta2: 0.108217, dir: right, idx: 244
theta1: 0.128005, theta2: 0.11018, dir: right, idx: 245
theta1: 0.123342, theta2: 0.112144, dir: right, idx: 246
theta1: 0.11868, theta2: 0.114107, dir: right, idx: 247
theta1: 0.117058, theta2: 0.111671, dir: right, idx: 294
theta1: 0.118797, theta2: 0.107541, dir: right, idx: 295
theta1: 0.120536, theta2: 0.103411, dir: right, idx: 296
theta1: 0.122276, theta2: 0.09928, dir: right, idx: 297
theta1: 0.122812, theta2: 0.096353, dir: right, idx: 298
theta1: 0.124307, theta2: 0.092467, dir: right, idx: 299
theta1: 0.125802, theta2: 0.088581, dir: right, idx: 300
theta1: 0.125658, theta2: 0.086333, dir: right, idx: 301
theta1: 0.126945, theta2: 0.082654, dir: right, idx: 302
theta1: 0.126474, theta2: 0.080734, dir: right, idx: 303
theta1: 0.125906, theta2: 0.078911, dir: right, idx: 304
theta1: 0.125259, theta2: 0.077166, dir: right, idx: 305
theta1: 0.125273, theta2: 0.074761, dir: right, idx: 306
theta1: 0.123783, theta2: 0.07386, dir: right, idx: 307
theta1: 0.122003, theta2: 0.073248, dir: right, idx: 308
theta1: 0.120281, theta2: 0.072579, dir: right, idx: 309
theta1: 0.118483, theta2: 0.071985, dir: right, idx: 310
theta1: 0.116592, theta2: 0.071485, dir: right, idx: 311
theta1: 0.112913, theta2: 0.072772, dir: right, idx: 312
theta1: 0.110699, theta2: 0.072595, dir: right, idx: 313
theta1: 0.106813, theta2: 0.074089, dir: right, idx: 314
theta1: 0.102927, theta2: 0.075584, dir: right, idx: 315
theta1: 0.10004, theta2: 0.07608, dir: right, idx: 316
theta1: 0.095909, theta2: 0.07782, dir: right, idx: 317
theta1: 0.091779, theta2: 0.079559, dir: right, idx: 318
theta1: 0.087649, theta2: 0.081298, dir: right, idx: 319
theta1: 0.083519, theta2: 0.083037, dir: right, idx: 320
theta1: 0.083838, theta2: 0.081616, dir: right, idx: 336
theta1: 0.087296, theta2: 0.073406, dir: right, idx: 337
theta1: 0.090754, theta2: 0.065193, dir: right, idx: 338
theta1: 0.094214, theta2: 0.056979, dir: right, idx: 339
theta1: 0.097675, theta2: 0.048763, dir: right, idx: 340
theta1: 0.09861, theta2: 0.043073, dir: right, idx: 341
theta1: 0.101584, theta2: 0.035343, dir: right, idx: 342
theta1: 0.104558, theta2: 0.027612, dir: right, idx: 343
theta1: 0.10416, theta2: 0.023254, dir: right, idx: 344
theta1: 0.106722, theta2: 0.015936, dir: right, idx: 345
theta1: 0.105687, theta2: 0.012213, dir: right, idx: 346
theta1: 0.104473, theta2: 0.00867, dir: right, idx: 347
theta1: 0.103114, theta2: 0.005272, dir: right, idx: 348
theta1: 0.101635, theta2: 0.001994, dir: right, idx: 349
theta1: 0.100055, theta2: -0.001185, dir: right, idx: 350
theta1: 0.09761, theta2: -0.003497, dir: right, idx: 351
theta1: 0.09095, theta2: -0.001595, dir: right, idx: 352
theta1: 0.087291, theta2: -0.002692, dir: right, idx: 353
theta1: 0.083434, theta2: -0.003592, dir: right, idx: 354
theta1: 0.076115, theta2: -0.00103, dir: right, idx: 355
theta1: 0.0716, theta2: -0.001272, dir: right, idx: 356
theta1: 0.06387, theta2: 0.001702, dir: right, idx: 357
theta1: 0.05848, theta2: 0.002336, dir: right, idx: 358
theta1: 0.050264, theta2: 0.005797, dir: right, idx: 359
theta1: 0.042049, theta2: 0.009257, dir: right, idx: 360
theta1: 0.033836, theta2: 0.012717, dir: right, idx: 361
theta1: 0.025624, theta2: 0.016175, dir: right, idx: 362
theta1: 3.12476, theta2: -3.038552, dir: left, idx: 382 wrong
theta1: 3.082386, theta2: -2.941415, dir: left, idx: 383 wrong
theta1: 3.037762, theta2: -2.840913, dir: left, idx: 384 wrong
theta1: 2.99149, theta2: -2.737707, dir: left, idx: 385 wrong
theta1: 2.975415, theta2: -2.663703, dir: left, idx: 386 wrong
theta1: 2.934629, theta2: -2.564067, dir: left, idx: 387 wrong
theta1: 2.894179, theta2: -2.46393, dir: left, idx: 388 wrong
theta1: 2.896824, theta2: -2.40614, dir: left, idx: 389 wrong
theta1: 2.863368, theta2: -2.311599, dir: left, idx: 390 wrong
theta1: 2.851052, theta2: -2.203512, dir: left, idx: 391 wrong
theta1: 2.791698, theta2: -2.038602, dir: left, idx: 392 wrong
theta1: 2.789333, theta2: -1.925103, dir: left, idx: 393 wrong
theta1: 2.73956, theta2: -1.758903, dir: left, idx: 394 wrong
theta1: 2.753898, theta2: -1.651976, dir: left, idx: 395 wrong
theta1: 2.717405, theta2: -1.490016, dir: left, idx: 396 wrong
theta1: 2.760981, theta2: -1.404731, dir: left, idx: 397 wrong
theta1: 2.79786, theta2: -1.310323, dir: left, idx: 398 wrong
theta1: 2.861007, theta2: -1.240841, dir: left, idx: 399 wrong
theta1: 2.923394, theta2: -1.170411, dir: left, idx: 400 wrong
theta1: 3.011995, theta2: -1.127169, dir: left, idx: 401 wrong
theta1: 3.101751, theta2: -1.08717, dir: left, idx: 402 wrong
theta1: -3.042023, theta2: -1.099922, dir: left, idx: 403
theta1: -2.936482, theta2: -1.082765, dir: left, idx: 404
theta1: -2.769877, theta2: -1.131325, dir: left, idx: 405
theta1: -2.657313, theta2: -1.131008, dir: left, idx: 406
theta1: -2.490563, theta2: -1.190382, dir: left, idx: 407
theta1: -2.372705, theta2: -1.206548, dir: left, idx: 408
theta1: -2.267283, theta2: -1.244063, dir: left, idx: 409
theta1: -2.212867, theta2: -1.233247, dir: left, idx: 410
theta1: -2.117861, theta2: -1.254644, dir: left, idx: 411
theta1: -2.054636, theta2: -1.245037, dir: left, idx: 412
theta1: -1.953536, theta2: -1.274257, dir: left, idx: 413
theta1: -1.875315, theta2: -1.281717, dir: left, idx: 414
theta1: -1.786568, theta2: -1.300965, dir: left, idx: 415
theta1: -1.686607, theta2: -1.332819, dir: left, idx: 416
theta1: -1.597726, theta2: -1.355099, dir: left, idx: 417
theta1: -1.57893, theta2: -1.348041, dir: left, idx: 418
theta1: -1.586123, theta2: -1.327484, dir: left, idx: 419
theta1: -1.583076, theta2: -1.317162, dir: left, idx: 420
theta1: -1.579542, theta2: -1.307324, dir: left, idx: 421
theta1: -1.575611, theta2: -1.297879, dir: left, idx: 422
theta1: -1.571355, theta2: -1.288759, dir: left, idx: 423
theta1: -1.566108, theta2: -1.280629, dir: left, idx: 424
theta1: -1.556922, theta2: -1.27644, dir: left, idx: 425
theta1: -1.54738, theta2: -1.272608, dir: left, idx: 426
theta1: -1.527819, theta2: -1.278799, dir: left, idx: 427
theta1: -1.516847, theta2: -1.276406, dir: left, idx: 428
theta1: -1.496285, theta2: -1.283608, dir: left, idx: 429
theta1: -1.483443, theta2: -1.283097, dir: left, idx: 430
theta1: -1.461724, theta2: -1.291471, dir: left, idx: 431
theta1: -1.446402, theta2: -1.293458, dir: left, idx: 432
theta1: -1.423334, theta2: -1.303201, dir: left, idx: 433
theta1: -1.400288, theta2: -1.312934, dir: left, idx: 434
theta1: -1.377273, theta2: -1.322649, dir: left, idx: 435
theta1: -1.354299, theta2: -1.332336, dir: left, idx: 436
theta1: 1.819302, theta2: 1.763521, dir: right, idx: 440
theta1: 1.859228, theta2: 1.670667, dir: right, idx: 441
theta1: 1.901421, theta2: 1.574498, dir: right, idx: 442
theta1: 1.945385, theta2: 1.475559, dir: right, idx: 443
theta1: 1.963528, theta2: 1.401498, dir: right, idx: 444
theta1: 2.018005, theta2: 1.2727, dir: right, idx: 445
theta1: 2.087258, theta2: 1.115683, dir: right, idx: 446
theta1: 2.159826, theta2: 0.951091, dir: right, idx: 447
theta1: 2.173643, theta2: 0.841091, dir: right, idx: 448
theta1: 2.236115, theta2: 0.678463, dir: right, idx: 449
theta1: 2.230406, theta2: 0.580323, dir: right, idx: 450
theta1: 2.278554, theta2: 0.425015, dir: right, idx: 451
theta1: 2.256115, theta2: 0.337463, dir: right, idx: 452
theta1: 2.228352, theta2: 0.25298, dir: right, idx: 453
theta1: 2.196316, theta2: 0.171169, dir: right, idx: 454
theta1: 2.187747, theta2: 0.065004, dir: right, idx: 455
theta1: 2.110205, theta2: 0.027674, dir: right, idx: 456
theta1: 2.030321, theta2: -0.006698, dir: right, idx: 457
theta1: 1.947928, theta2: -0.037216, dir: right, idx: 458
theta1: 1.862693, theta2: -0.062865, dir: right, idx: 459
theta1: 1.708402, theta2: -0.016829, dir: right, idx: 460
theta1: 1.612707, theta2: -0.02624, dir: right, idx: 461
theta1: 1.449903, theta2: 0.035023, dir: right, idx: 462
theta1: 1.288523, theta2: 0.098743, dir: right, idx: 463
theta1: 1.175434, theta2: 0.118275, dir: right, idx: 464
theta1: 1.015337, theta2: 0.189047, dir: right, idx: 465
theta1: 0.86438, theta2: 0.254961, dir: right, idx: 466
theta1: 0.763946, theta2: 0.284657, dir: right, idx: 467
theta1: 0.68727, theta2: 0.318059, dir: right, idx: 468
theta1: 0.611481, theta2: 0.350996, dir: right, idx: 469
theta1: 0.536896, theta2: 0.383182, dir: right, idx: 470
theta1: 0.463799, theta2: 0.414365, dir: right, idx: 471
theta1: -2.719867, theta2: -2.695219, dir: left, idx: 514
theta1: -2.730433, theta2: -2.670169, dir: left, idx: 515
theta1: -2.741034, theta2: -2.645068, dir: left, idx: 516
theta1: -2.751658, theta2: -2.619926, dir: left, idx: 517
theta1: -2.762296, theta2: -2.594755, dir: left, idx: 518
theta1: -2.764439, theta2: -2.578066, dir: left, idx: 519
theta1: -2.773581, theta2: -2.554365, dir: left, idx: 520
theta1: -2.773001, theta2: -2.540376, dir: left, idx: 521
theta1: -2.78086, theta2: -2.517938, dir: left, idx: 522
theta1: -2.778175, theta2: -2.50615, dir: left, idx: 523
theta1: -2.770543, theta2: -2.510132, dir: left, idx: 524
theta1: -2.763637, theta2: -2.513389, dir: left, idx: 525
theta1: -2.750618, theta2: -2.522759, dir: left, idx: 526
theta1: -2.729722, theta2: -2.540007, dir: left, idx: 527
theta1: -2.717193, theta2: -2.548889, dir: left, idx: 528
theta1: -2.705646, theta2: -2.55679, dir: left, idx: 529
theta1: -2.694697, theta2: -2.564093, dir: left, idx: 530
theta1: -2.667465, theta2: -2.58768, dir: left, idx: 531
theta1: -2.65652, theta2: -2.594981, dir: left, idx: 532
theta1: -2.629007, theta2: -2.61885, dir: left, idx: 533
theta1: 0.524398, theta2: 0.514572, dir: right, idx: 534
theta1: 0.552468, theta2: 0.490144, dir: right, idx: 535
theta1: 0.56611, theta2: 0.480143, dir: right, idx: 536
theta1: 0.581527, theta2: 0.468366, dir: right, idx: 537
theta1: 0.59941, theta2: 0.454121, dir: right, idx: 538
theta1: 0.613774, theta2: 0.443395, dir: right, idx: 539
theta1: 0.631269, theta2: 0.429537, dir: right, idx: 540
theta1: 0.629138, theta2: 0.425229, dir: right, idx: 541
theta1: 0.612323, theta2: 0.431116, dir: right, idx: 542
theta1: 0.60212, theta2: 0.430395, dir: right, idx: 543
theta1: 0.584357, theta2: 0.437237, dir: right, idx: 544
theta1: 0.566597, theta2: 0.444082, dir: right, idx: 545
