class, amount
5ejaaa020003, 1
5ejaaa030002, 4
5ejaaa040002, 3
5ejaaa040003, 2
5ejaaa050002, 6
5ejaaa050003, 1
5ejaaa060002, 4
5ejaaa060003, 1
5ejaaa070002, 2
5ejaaa070003, 1
5ejaaa080003, 1
5ejaab020002, 3
5ejaab040002, 2
5ejaab040003, 2
5ejaab050002, 1
5ejaab070003, 1
5ejab050002, 1
5ejaba020002, 2
5ejaba030003, 1
5ejaba040002, 1
5ejaba040003, 3
5ejaba080003, 1
5ejba030002, 2
5ejba030003, 1
5ejba040002, 1
5ejba050002, 2
5ejbaa070003, 1
5ek1j080003, 1
5ek2a060003, 1
5ek2e040003, 1
5ek5b040002, 1
5ek5e040002, 1
5ek5e060002, 1
5ek5ea020002, 1
5ek5ee030003, 1
5ekaa030002, 1
5ekaa060003, 1
5ekab030002, 1
5ekab040002, 3
5ekab060003, 1
5ekab070002, 1
5ekab070003, 1
5ekab090003, 1
5ekb040003, 1
5ekb2060003, 1
5ekb2080003, 1
5ekbb020002, 1
5ekbb040003, 1
5ekbb080003, 1
5ekbe020002, 1
5ekbe040002, 1
5eke1050003, 1
5eke2050002, 2
5eke2e020002, 1
5ekee030002, 2
5ekee040002, 1
5ekee040003, 1
5ekee050003, 2
5ekee060002, 1
5ekee060003, 1
5ekee070003, 1
5ekee090003, 1
5en5b050002, 1
5en5e020002, 1
5en5e030002, 2
5en5e050003, 1
5en5e060002, 1
5en5e060003, 1
5en5e070003, 3
5en5e080002, 1
5en5e080003, 1
5en5e090003, 1
5en5eae050003, 1
5en5en010002, 2
5en5en030002, 2
5en5en030003, 1
5en5en050002, 1
5en5en060003, 3
5en5en070003, 1
5en5en080003, 1
5en5h040002, 1
5en5k030003, 1
5en5k050002, 2
5en5n030002, 1
5en5n040002, 1
5en5n050003, 1
5en8e020002, 1
5en8e030002, 1
5en8e050002, 1
5en8q040002, 1
5enb5e060003, 1
5enb5n020002, 1
5enbb040003, 1
5enbe010002, 2
5enbe020002, 3
5enbe040003, 1
5enbee070002, 1
5enbee100003, 1
5ene5010002, 1
5ene5030002, 1
5ene5030003, 1
5ene5040002, 2
5ene5050002, 1
5ene5050003, 2
5ene5e010002, 1
5ene5e020002, 2
5ene5e030002, 2
5ene5e030003, 1
5ene5e040002, 2
5ene5e050002, 2
5ene5e050003, 1
5ene5e060002, 1
5ene5e070002, 1
5ene5e140006, 1
5ene5k040003, 1
5ene5n070003, 1
5eneb030002, 1
5eneb5080003, 1
5enebe030002, 1
5enebe070003, 1
5enee020002, 1
5enee020003, 1
5enee030002, 1
5enee030003, 1
5enee070002, 1
5enee070003, 1
5enee5030002, 1
5enee5050002, 2
5enee5050003, 1
5enee5060003, 2
5enee5080006, 1
5enee5110006, 1
5enee8040002, 1
5enee8050002, 1
5eneee000002, 1
5eneee020002, 15
5eneee020003, 2
5eneee030002, 9
5eneee030003, 3
5eneee040002, 12
5eneee040003, 11
5eneee050002, 12
5eneee050003, 6
5eneee060002, 6
5eneee060003, 11
5eneee070002, 5
5eneee070003, 14
5eneee080002, 2
5eneee080003, 2
5eneee090003, 2
5eneeh050003, 1
5eneeh060003, 3
5enehe030003, 1
5enehe070002, 1
5enehe080003, 1
5enh5e030002, 1
5enhe020002, 1
5enhe070002, 1
5enhe070003, 2
5enhee050003, 1
5enhee090003, 1
5enhh030002, 1
5enhh050002, 1
5ep7gn080003, 1
5ep7gn090003, 1
5ep7h020002, 1
5ep8f060003, 1
5epfgg070003, 1
5epg7q020002, 1
5epg7q050002, 1
5epg7q070002, 1
5epg8o070003, 2
5epgg7020002, 1
5epgg7040002, 1
5epgg7060003, 1
5epggg020003, 1
5epggg030002, 2
5epggg040002, 3
5epggg050002, 2
5epggg060002, 3
5epggg070002, 2
5epggg070003, 2
5epggh050002, 2
5epggh060002, 1
5epgh7070003, 1
5epghg040002, 1
5epghg050002, 1
5eph7040003, 1
5ephg080002, 1
5ephg7040002, 1
5ephgg040002, 1
5ephgg040003, 2
5ephgg060003, 1
5ephgg070002, 1
5eq5ep020002, 1
5eq5ep030002, 1
5eq5ph050002, 1
5eqeg040002, 1
5eqegh030002, 1
5eqegh040002, 1
5eqeh010002, 2
5eqeh020002, 1
5eqeh080003, 1
5eqg8030002, 1
5eqg8060002, 1
5eqgg030003, 1
5eqgg060002, 1
5eqgg060003, 1
5eqgg080003, 1
5eqgg090003, 1
5eqgh020003, 1
5eqgh030003, 1
5eqgh040003, 1
5eqgh060002, 2
5eqh7020002, 1
5eqh7020003, 1
5eqh8020003, 1
5eqh8080003, 1
5eqhe030002, 1
5eqhh020002, 2
5eqhh030002, 3
5eqhh040002, 2
5eqhh060002, 1
5eqhh090003, 1
5h9010002, 1
5hefp020002, 1
5hegg040002, 1
5hegge030002, 2
5hegge050002, 1
5hegp020002, 1
5hegp030002, 1
5hegpg020002, 1
5hehn030003, 1
5hen5060002, 1
5henb060002, 1
5hene040002, 1
5henh070002, 1
5henh070003, 1
5hep8g020002, 1
5hep8g060002, 1
5hepg030002, 1
5hepg040002, 1
5hepg060002, 1
5hepg080003, 1
5hepgg020002, 1
5heph030003, 1
5heph070003, 1
5hggl040002, 1
5hn8n020002, 1
5hn8p080003, 1
5hn8q060002, 1
5hneg010002, 1
5hneg020002, 1
5hnhh060002, 1
5hpgg040002, 2
5hqgg050002, 1
5jaaa020002, 1
5jaaa030002, 1
5jbaa020002, 2
5k5bn050002, 1
5k5eq050002, 1
5k5ka020002, 1
5k5kb060002, 1
5kbea030002, 1
5kebb030002, 1
5kebe010002, 1
5kebe020002, 1
5kebe030002, 2
5kebe060002, 1
5n2e030002, 1
5n2ea020003, 1
5n2eaj040003, 1
5n2eb040002, 1
5n2eb070003, 1
5n2ee020002, 1
5n2eh040002, 1
5n2eja050002, 1
5n2ek090003, 1
5n2en000002, 1
5n2en010002, 1
5n2en020002, 3
5n2en050002, 1
5n2eqe040002, 1
5n2eqe050002, 1
5n2k090003, 1
5n2kb040003, 1
5n2nb030002, 1
5n2qeg010002, 1
5n5bb090003, 1
5n5be040003, 1
5n5bee030003, 1
5n5eee130006, 1
5n5eee180006, 1
5n5eep060003, 2
5n5eja080003, 1
5n5ek060002, 1
5n5ek070002, 1
5n5en5030002, 1
5n5ene010002, 1
5n5he040003, 1
5n5hp040003, 1
5n5k2030003, 1
5n5kb040002, 1
5n5kb040003, 1
5n5kb050003, 1
