class, amount
010001hhene, 1
010001hn5he, 2
010001hn8ee, 1
010001hneee, 1
010001hpggg, 1
010001hqggh, 1
010001j2ai, 1
010001j9aaa, 1
010001jbab, 1
010001jbbb, 1
010001k2a, 1
010001k5jba, 1
010001k5kba, 1
010001kbbe, 2
010001kbeb, 2
010001kebeb, 2
010001n2eeq, 1
010001n2ehn, 1
010001n2ei9, 1
010001n2neb, 1
010001n2nee, 1
010001n5b9a, 1
010001n5ebe, 1
010001n5eegg, 1
010001n5eeq, 1
010001n5eho, 1
010001n5ehq, 1
010001n5ejaa, 3
010001n5eka, 2
010001n5eke, 1
010001n5enee, 1
010001n5eneh, 2
010001n5epgh, 1
010001n5eqg, 1
010001n5heq, 1
010001n5hhe, 1
010001n5hnh, 1
010001n5keb, 1
010001n5n2e, 1
010001n5nbb, 1
010001n5nhe, 1
010001n5qhe, 1
010001n8egq, 1
010001n8ehq, 1
010001n8hn8, 1
010001n8qeh, 1
010001nb5anb, 1
010001nb5ke, 1
010001nbebb, 1
010001nbebe, 2
010001nbee2, 1
010001nbeeb, 1
010001nbeee, 2
010001ne2eia, 1
010001ne5eaj, 3
010001ne5eek, 1
010001ne5egp, 1
010001ne5ek, 1
010001ne5enb, 1
010001ne5ene, 1
010001ne5he, 3
010001ne5hep, 1
010001ne5hn, 2
010001ne5ke, 2
010001ne5neb, 1
010001ne5nee, 1
010001ne5qh, 1
010001ne8be, 1
010001neb5, 1
010001nebee, 2
010001nebeee, 1
010001nee5ea, 1
010001nee5ee, 1
010001nee5eg, 2
010001nee5ej, 1
010001nee5hn, 1
010001nee5q, 1
010001nee8ep, 1
010001neebee, 4
010001neee5, 1
010001neee5e, 1
010001neee5k, 1
010001neee5n, 1
010001neeeb5, 1
010001neeee5, 3
010001neeeeb, 4
010001neeeee, 47
010001neeeeh, 6
010001neeeh, 1
010001neeeh5, 2
010001neehee, 4
010001nehe5, 1
010001nehee, 9
010001neheee, 2
010001nh5eh, 1
010001nh5ek, 1
010001nh5n5, 2
010001nh8ee, 1
010001nhe5n, 1
010001nhee5, 1
010001nheeh, 4
010001nhegh, 1
010001nhehe, 4
010001nhheh, 1
010001phhg, 1
010001q8n8p, 1
010001qeehe, 1
010001qeh5h, 1
010001qeh7gb, 1
010001qehee, 1
010001qeheh, 2
010001qehhe, 3
010001qheh, 2
010001qhhh, 1
0100025eaaeg, 1
0100025eai1, 1
0100025ebeq, 1
0100025eefca, 1
0100025eenh, 2
0100025eeph, 1
0100025ehca, 3
0100025en5en, 2
0100025enbe, 2
0100025ene5, 1
0100025ene5e, 1
0100025eqeh, 2
0100025h9, 1
0100025hneg, 1
0100025kebe, 1
0100025n2en, 1
0100025n2qeg, 1
0100025n5ene, 1
0100025n8nh, 1
0100025nbee, 1
0100025ne8ej, 1
0100025nebb, 1
0100025nebe, 3
0100025neh5n, 1
0100025nehe, 1
0100025nehee, 1
0100025nhee, 1
0100025nheh, 1
0100025q5hk, 1
0100025qehh, 1
010002be9aa, 1
010002beehg, 1
010002behq, 1
010002bhgcal, 1
010002bqeee, 1
010002e5eab, 1
010002e5egqg, 1
010002e5ejaa, 2
010002e5ekb, 1
010002e5nbe, 1
010002e5nhe, 2
010002e5qhe, 1
010002eai0a, 1
010002eajaaa, 3
010002ebbaeg, 1
010002ebbnb, 1
010002ebehq, 1
010002ebejb, 1
010002ebi19, 1
010002ebkaa, 1
010002ebkb, 1
010002ebn5j, 2
010002eca, 1
010002ee5be, 1
010002ee5ee, 1
010002ee5ej1, 1
010002ee5ej9, 1
010002ee5ep, 1
010002ee5eq, 1
010002ee5nee, 1
010002ee8eae, 1
010002eebaa, 1
010002eebee, 2
010002eee5be, 1
010002eee5e, 2
010002eee5n, 1
010002eee5ne, 2
010002eee8e, 1
010002eee8en, 1
010002eeeanb, 1
010002eeebe, 1
010002eeebee, 4
010002eeee2, 2
010002eeee5e, 5
010002eeee5n, 1
010002eeeeb5, 1
010002eeeebe, 1
010002eeeee5, 3
010002eeeeeb, 5
010002eeeeee, 59
010002eeeeeh, 4
010002eeeeh5, 1
010002eeeehe, 2
010002eeeeq, 1
010002eeegfg, 1
010002eeeh5, 1
010002eeehe, 1
010002eeehee, 2
010002eeene, 1
010002eeh5ne, 1
010002eehep, 1
010002eehnh, 1
010002eene5, 1
010002eenhe, 1
010002eep8gee, 1
010002eepg7g, 1
010002eeqgg, 1
010002eeqh5, 1
010002eeqhe, 1
010002egpggg, 4
010002ehefpg, 1
010002ehek2, 1
010002ehen5, 2
010002eheqh, 1
010002ehgne, 1
010002ehpgg, 1
010002ehphh, 2
010002ehq7, 1
010002ehq7ge, 1
010002ehqh, 1
010002ej1acc, 1
010002eja1al, 2
010002ejaaa, 1
010002ejaaa1, 2
010002ejaaaa, 2
010002ejabaa, 3
010002ejbaab, 1
010002ek2an, 1
010002ekaab, 1
010002ekbb, 2
010002eke1a, 1
010002ekebe, 2
010002ekee2, 1
010002ekeee, 1
010002en5k5, 1
010002enbb5, 1
010002enbeb, 1
010002enbee, 1
010002ene5b, 1
010002ene5e, 4
010002ene5n, 2
010002eneebe, 1
010002eneee, 1
010002eneee2, 1
010002eneeeb, 2
010002eneeee, 8
010002eneehe, 1
010002enehee, 2
010002enheh, 2
010002epgggf, 1
010002ephgg7, 1
010002ephggh, 1
010002eq5hh, 1
010002eqehe, 1
010002eqehh, 2
010002eqh7h, 2
010002eqhh, 1
010002eqhhe, 1
010002hegpf, 1
010002hegpg, 1
010002hepgg, 1
010002hepgh, 1
010002k5baeg, 1
010002n2eqe, 1
010002n5eepg, 1
010002n5eqg, 1
010002n5hpg, 1
010002n5kee, 1
010002n5n8n, 1
010002n5nee, 1
010002n5neee, 1
010002n5nhh, 1
010002n5qee, 1
010002n5qhe, 1
010002n8nhe, 1
010002nbeba, 1
010002nbebe, 2
010002nbeeb, 2
010002nbeee, 1
010002ne2eph, 1
010002ne2n2, 1
010002ne5ee, 1
010002ne5eek, 1
010002ne5ek, 1
010002ne5eq, 1
010002ne5hn, 1
010002neb5j, 1
010002nebee, 6
010002nebeee, 1
010002nee5hn, 1
010002nee5n5, 1
010002nee8ne, 1
010002neebe, 1
010002neebee, 5
010002neee5, 1
010002neeeb5, 1
010002neeeee, 12
010002neeh5e, 1
010002neehe, 1
010002neehee, 3
010002neh5ne, 1
010002nehee, 5
010002neheh, 3
010002nh5ejb, 1
010002nhe5q, 1
010002nheee, 3
010003e5hgp, 1
010003e5qe, 1
010003ee5nb, 1
010003ee5nh, 1
010003eeeeee, 8
010003eeeeeh, 1
010005eeee5, 1
010005eeeee5, 1
010101aaaal, 1
010101abjba, 2
010101eej1ja, 1
010101eej2jb, 1
010101eekaa, 2
010101egcfci, 1
010101egcfg9, 1
010101egcfhg, 1
010101egcfl3, 1
010101egcfq, 1
010101egcgeeq, 1
010101egcghen, 1
010101egclcc, 1
010101egco6, 3
010101egeho7, 1
010101eheo7, 1
010101ehhn5, 1
010101ekeb2, 1
010101enbe2, 3
010101enbeb, 1
010101epfggg, 1
010101eqghh, 1
010101jbb2, 1
010101n5eke, 2
010101n5eqh, 1
010101n5heg, 1
010101n5ne8, 1
010101n8eh9c, 1
010101nbeeb, 1
010101ne5eg, 1
010101ne5ene, 1
010101ne5nee, 1
010101neb5e, 1
010101neb5k, 1
010101nee5ea, 1
010101neee5, 2
010101neee5e, 2
010101neeee5, 1
010101neeeeb, 1
010101neeeee, 4
010101neeehe, 1
010101nheee, 2
010101nheeh, 1
010101nhh5q, 1
010101qeh8e, 1
010101qehe8, 1
010101qehh, 1
020001a9j9a, 1
020001aabaae, 1
020001aal9c, 1
020001ajbab, 1
020001ak1kb, 1
020001alcc9, 1
020001alccc, 1
020001bbb, 1
020001beefg, 1
020001beheg, 4
020001bhegq, 2
020001bhfcg, 1
020001bjaba, 2
020001blcc, 2
020001eaa9lc, 4
020001eaaeee, 1
020001eaakeb, 1
020001eajaaa, 1
020001eaka2, 1
020001eakab, 1
020001ealcc, 1
020001ebaac, 1
020001ebaee, 1
020001ebbal, 1
020001ebe9a, 1
020001ebeb, 1
020001ebeia, 1
020001ebej1, 1
020001ebeke, 1
020001ebi0a, 2
020001ebkeb, 1
020001eeaaba, 1
020001eeajaa, 1
020001eeegca, 1
020001eeegeq, 1
020001eeegne, 1
020001eeehp, 1
020001eeek5e, 1
020001eeekb, 1
020001eeenb, 1
020001eeene, 1
020001eeenee, 1
020001eef9l, 1
020001eefl6, 1
020001eegeen, 1
020001eeggff, 2
020001eeggq, 1
020001eegp7, 1
020001eegp8q, 1
020001eeheg, 2
020001eehegp, 1
020001eehgp, 1
020001eejaaa, 2
020001eejaab, 1
020001eejaba, 2
020001eek5ee, 1
020001eekab, 1
020001eekb2, 1
020001eekbb, 1
020001eekeab, 1
020001een5en, 1
020001een5k, 1
020001eene2n, 1
020001eeneee, 2
020001eeneh, 1
020001eenehe, 1
020001eenhe, 2
020001eeoggf, 1
020001eeqhe, 2
020001eeqhh, 1
020001egc99, 2
020001egc9aa, 1
020001egc9af, 1
020001egcal, 1
020001egcal0, 1
020001egcal3c, 1
020001egccghp, 1
020001egcgphg, 1
020001egci0, 2
020001egci9, 2
020001egcia, 1
020001egcia3, 1
020001egcof, 1
020001egebjb, 1
020001eggbea, 1
020001egggcg, 1
020001eggq, 1
020001egp7qg, 1
020001egpggg, 3
020001egpghg, 1
020001egphgg, 1
020001egqeh, 1
020001egqh8, 1
020001egqhe, 1
020001ehffg, 1
020001ehfgg, 3
020001ehgeq, 1
020001ehgf, 1
020001ehgfc, 1
020001ehgfnh, 1
020001ehggf, 2
020001ehgglf, 1
020001ehggn8, 2
020001ehggo, 1
020001ehghne, 1
020001ehgnh, 1
020001ehgnhe, 1
020001ehgpg, 1
020001ehgqe, 2
020001ehgqg, 2
020001ehk5e, 1
020001ehnee, 1
020001ehp8g, 2
020001ehpgg, 2
020001ei1acca, 1
020001eia1aa, 1
020001eiaaaa, 1
020001ej1aia, 2
020001ej9a1a, 2
020001ej9aaa, 1
020001eja1bj, 1
020001ejaa1, 3
020001ejaa2a, 1
020001ejaaaa, 2
020001ejaaab, 1
020001ejaaba, 5
020001ejaba1, 1
020001ejb2b, 1
020001ejbaab, 1
020001eka2j, 1
020001ekaba, 1
020001ekabb, 3
020001ekb2a, 1
020001ekbab, 1
020001ekbb, 2
020001eke2ea, 1
020001eke5k, 1
020001ekebb, 1
020001ekebe, 2
020001en2ee, 2
020001en2ne, 1
020001en5ea, 1
020001en5ean, 2
020001en8eh, 2
020001en8en, 1
020001enb2b, 1
020001enbee, 2
020001ene2ne, 1
020001ene5bn, 1
020001ene5ea, 2
020001ene5he, 2
020001ene8ee, 1
020001enebe, 2
020001enee5n, 1
020001eneeb, 2
020001eneee, 3
020001eneee5, 1
020001eneeee, 15
020001eneeeh, 2
020001eneehe, 2
020001eneh5, 1
020001enehe, 1
020001enh5ep, 1
020001enhee, 1
020001enhhe, 1
020001enhhh, 1
020001ep7gnbe, 1
020001ep8ne, 2
020001epg7gn, 1
020001epgg7g, 1
020001epgg7q, 1
020001epgggg, 6
020001epgghg, 2
020001epghgh, 1
020001eph7h, 1
020001eph7q, 1
020001eph8n, 1
020001ephgg8, 1
020001ephgh, 1
020001eq8eg, 2
020001eqeeh, 3
020001eqehe, 1
020001eqehh, 1
020001eqghg, 1
020001eqh8g, 2
020001eqheh, 4
020001eqhgh, 1
020001eqhh, 4
020001eqhhg, 1
020001fcal, 1
020001ggjaa, 2
020001gneb, 1
020001gpg7p, 1
020001hbnbb, 1
020001hefgcq, 1
020001hegkb, 1
020001hepggh, 1
020001heqg8, 1
020001hggh, 1
020001hgqg, 1
020001hnebe, 1
020001hnehh, 1
020001hpggg, 1
020001iaaa1, 1
020001iaaaa, 2
020001jaaaa, 2
020001jaab1, 1
020001jabba, 1
020001jbab, 1
020001jbbb, 1
020001k2eq8, 1
020001k5kb, 1
020001kb2e, 1
020001kbb5, 1
020001kbeb, 1
020001keb, 1
020001keb2, 3
020001kebab, 1
020001n2eaj, 1
020001n2ekb, 1
020001n2ene, 1
020001n2nbb, 1
020001n5eepg, 2
020001n5eggg, 2
020001n5ehq, 1
020001n5enee, 5
020001n5enh, 2
020001n5eqh, 1
020001n5gne8, 1
020001n5heg, 1
020001n5hejb, 1
020001n5hep, 1
020001n5hqe, 2
020001n5k5b, 1
020001n5n2e, 1
020001n5n2en, 1
020001n5n2ne, 2
020001n5n2nh, 1
020001n5neee, 1
020001n5neeh, 1
020001n5nhe, 1
020001n5p7g, 1
020001n8eg, 1
020001n8enh, 1
020001n8eqe, 1
020001n8hne, 1
020001n8ne2, 1
020001n8qeh, 1
020001nb5ne5, 1
020001nbe2k, 1
020001nbebb, 1
020001nbeeb, 3
020001nbeee, 4
020001ne2hp, 1
020001ne5eaj, 1
020001ne5ee, 2
020001ne5eek, 1
020001ne5eh, 1
020001ne5en5, 1
020001ne5ene, 2
020001ne5ep, 1
020001ne5eq, 2
020001ne5ke, 1
020001ne5n5, 1
020001ne8be, 1
020001ne8eg, 1
020001nebeb, 2
020001nebee, 3
020001nebeee, 4
020001nee5e, 3
020001nee5ea, 1
020001nee5eg, 1
020001nee5en, 1
020001nee5ep, 1
020001nee5h, 1
020001nee8ee, 3
020001neebe, 2
020001neebee, 2
020001neee2n, 1
020001neee5, 1
020001neee5e, 3
020001neee5k, 2
020001neee5n, 1
020001neeebe, 2
020001neeee5, 9
020001neeeee, 57
020001neeeeh, 1
020001neeeh, 1
020001neeeh5, 1
020001neeehe, 4
020001nehe5, 2
020001nehe8, 1
020001nehee, 7
020001neheee, 1
020001neheh, 1
020001nh5eh, 1
020001nh5n5, 1
020001nh5qe, 1
020001nhe8n, 4
020001nheee, 5
020001nheeh, 8
020001nheh5, 2
020001nhehe, 5
020001p7glc, 1
020001phh8, 1
020001q5egc, 1
020001q8n8p, 1
020001qeh5p, 1
020001qeh5q, 1
020001qeh7e, 1
020001qeheh, 1
020001qehgh, 1
020001qehh, 1
020001qehhe, 1
020001qh5hg, 1
0200025bbb, 1
0200025bene, 1
0200025bheg, 1
0200025eaanb, 1
0200025eaeehg, 1
0200025eakb, 1
0200025ebi, 2
0200025ebqg, 1
0200025eeee, 1
0200025eeg, 1
0200025eegg, 1
0200025eenee, 1
0200025eenhe, 1
0200025eepg7, 2
0200025egggn, 1
0200025eggpg, 1
0200025egpgg, 1
0200025egphg, 1
0200025ehfp, 1
0200025ehgg, 1
0200025ehogg, 1
0200025ehpgg, 1
0200025ehph, 1
0200025ei1acc, 1
0200025eiaaa, 1
0200025ej1aj, 1
0200025ej9aa, 1
0200025ejaaa, 4
0200025ejaab, 3
0200025ejaba, 2
0200025ek5ea, 1
0200025ekbb, 1
0200025ekbe, 1
0200025eke2e, 1
0200025en5e, 1
0200025en8e, 1
0200025enb5n, 1
0200025enbe, 3
0200025ene5e, 2
0200025enee, 1
0200025eneee, 15
0200025enhe, 1
0200025ep7h, 1
0200025epg7q, 1
0200025epgg7, 1
0200025eq5ep, 1
0200025eqeh, 1
0200025eqh7, 1
0200025eqhh, 2
0200025hefp, 1
0200025hegp, 1
0200025hegpg, 1
0200025hep8g, 1
0200025hepgg, 1
0200025hn8n, 1
0200025hneg, 1
0200025jaaa, 1
0200025jbaa, 2
0200025k5ka, 1
0200025kebe, 1
0200025n2ee, 1
0200025n2en, 3
0200025n5qe, 1
0200025n5qh, 2
0200025n8ee, 1
0200025n8eka, 1
0200025nb5k, 1
0200025nbe2, 2
0200025nbeb, 1
0200025nbee, 3
0200025ne5n, 1
0200025ne5n5, 1
0200025ne8n, 2
0200025nebe, 2
0200025nebee, 1
0200025neebe, 3
0200025neeee, 1
0200025neeeh, 1
0200025neh5e, 1
0200025nehe, 2
0200025nh5ee, 1
0200025nhe5, 1
0200025nhe8, 1
0200025nhee, 4
0200025nheh, 5
0200025nheh5, 1
0200025nhhe, 1
0200025qe8n, 1
0200025qehe, 1
020002bbhgc, 1
020002beehg, 1
020002bnbb, 1
020002e5beee, 1
020002e5bhg, 1
020002e5eaee, 1
020002e5eba, 1
020002e5ebaa, 1
020002e5ebe, 1
020002e5eee, 2
020002e5ehgp, 1
020002e5ehn, 1
020002e5ehp, 1
020002e5ejaa, 2
020002e5eka, 2
020002e5ekb, 1
020002e5enee, 1
020002e5epgg, 1
020002e5heq, 1
020002e5hnh, 1
020002e5kee, 1
020002e5n8n, 1
020002e5nbe, 4
020002e5neee, 3
020002e5nhe, 1
020002e5qe8, 1
020002e5qee, 1
020002e5qeh, 1
020002eaacae, 1
020002eabaaa, 1
020002eabbe, 1
020002eabeea, 1
020002eaeeeg, 2
020002eajaaa, 1
020002ebakb, 1
020002ebeeea, 1
020002ebene, 1
020002ebeqh, 1
020002ebi0a, 1
020002ebjab, 1
020002ee5bn, 1
020002ee5eaa, 2
020002ee5ee, 1
020002ee5een, 1
020002ee5eia, 1
020002ee5ek, 1
020002ee5enb, 1
020002ee5ene, 2
020002ee5eq, 2
020002ee5hq, 1
020002ee5ke, 3
020002ee5n2e, 1
020002ee5nee, 1
020002ee5nh, 4
020002ee5qe, 2
020002ee8eb, 1
020002eeaeqe, 1
020002eeaj9a, 1
020002eeakba, 1
020002eeb5k, 2
020002eebee, 3
020002eebeee, 1
020002eebejb, 1
020002eebeq, 1
020002eebk, 1
020002eebka, 2
020002eebkb, 1
020002eee2h, 1
020002eee5bn, 1
020002eee5ej, 1
020002eee5en, 3
020002eee5h, 1
020002eee5ne, 1
020002eee8e, 1
020002eee8n, 2
020002eeebe, 4
020002eeebee, 8
020002eeee2, 2
020002eeee5, 2
020002eeee5b, 1
020002eeee5e, 2
020002eeee5n, 2
020002eeee5q, 2
020002eeee8, 1
020002eeee8b, 1
020002eeeeb, 2
020002eeeebe, 7
020002eeeee2, 1
020002eeeee5, 6
020002eeeee8, 1
020002eeeeeb, 10
020002eeeeee, 152
020002eeeeeh, 9
020002eeeeh, 2
020002eeeeh5, 2
020002eeeehe, 5
020002eeeh5e, 1
020002eeehe, 6
020002eeehee, 1
020002eeenee, 1
020002eeeph7, 1
020002eeeph8, 1
020002eeeq8, 2
020002eegcal, 1
020002eeggpg, 1
020002eegp7p, 1
020002eegpgg, 1
020002eegphg, 1
020002eeh5ee, 1
020002eehee, 2
020002eeheee, 1
020002eehnh, 1
020002eejaaa, 2
020002eejb1, 1
020002eejbab, 2
020002eejbb, 1
020002eek2a, 1
020002eekaa, 2
020002eekb, 1
020002eekeb, 1
020002een2n, 2
020002eenb5e, 1
020002eenee, 1
020002eeneee, 2
020002eenhe, 1
020002eepggg, 2
020002eephh, 1
020002eeqeh, 1
020002eeqgg, 1
020002egggl3, 1
020002eglccc, 1
020002egpggg, 2
020002egq5q, 1
020002egqhg, 1
020002ehcal, 2
020002ehegpg, 1
020002ehehk, 1
020002ehgpg, 1
020002ehhne, 1
020002ehke5, 1
020002ehnhe, 1
020002ehpgg, 2
020002ej1aal, 1
020002ej2ab, 1
020002eja1aj, 1
020002eja1al, 1
020002ejaa9, 1
020002ejaaa, 2
020002ejaaaa, 1
020002ejaaba, 1
020002ejaba, 1
020002ejb1ah, 1
020002ejbaa, 2
020002ejbaaa, 2
020002ek1j2, 1
020002ek2ei, 1
020002ek2k, 1
020002ek2ke, 1
020002ek5eeg, 1
020002ekaba, 1
020002ekb2j, 1
020002ekbab, 1
020002ekbeb, 2
020002eke2e, 1
020002ekebb, 1
020002ekebe, 2
020002ekeeb, 2
020002en2ke, 1
020002en2nb, 1
020002en5eae, 1
020002en5eh, 1
020002en5ene, 2
020002en5ne, 1
020002enbee, 2
020002ene5eg, 1
020002ene5en, 1
020002ene5ke, 1
020002eneee5, 1
020002eneeeb, 1
020002eneeee, 14
020002eneeeh, 2
020002enehe, 1
020002enehee, 1
020002enhe8, 1
020002enheh, 1
020002ep8ff, 1
020002epg8p, 1
020002epgggg, 1
020002epgggh, 1
020002ephggh, 1
020002eqeeh, 1
020002eqehh, 5
020002eqggh, 1
020002eqhe8, 1
020002eqheh, 2
020002hen8ea, 2
020002hepgg, 1
020002n2ekb, 1
020002n2kb, 1
020002n2nb, 1
020002n2nbe, 2
020002n5bee, 1
020002n5bnb, 1
020002n5eego, 1
020002n5ehg, 1
020002n5ejaa, 2
020002n5ene, 1
020002n5enee, 1
020002n5k2e, 1
020002n5kbe, 1
020002n5keb, 1
020002n5n5n5, 1
020002n5n8e, 1
020002n5nee, 1
020002n5neee, 2
020002n5q8n, 1
020002n5qeh, 6
020002n8een, 1
020002n8eqg, 1
020002nbe2ee, 1
020002nbebb, 1
020002nbebe, 1
020002nbeeb, 3
020002nbeee, 1
020002ne5ba, 1
020002ne5eaj, 1
020002ne5eek, 1
020002ne5he, 1
020002ne5n5g, 1
020002ne5n8, 1
020002ne8eh, 1
020002ne8eja, 1
020002neb2he, 1
020002nebeb, 2
020002nebee, 14
020002nebeee, 3
020002nee2ne, 1
020002nee5e9, 1
020002nee5ne, 2
020002neebe, 6
020002neebee, 5
020002neee5e, 1
020002neeeb, 1
020002neeeb5, 1
020002neeebe, 2
020002neeee5, 1
020002neeeee, 16
020002neeeeh, 3
020002neeeh, 1
020002neeeh5, 1
020002neeehe, 1
020002neeh5n, 1
020002neehe, 3
020002neehee, 3
020002nehe5e, 1
020002nehe8, 1
020002nehee, 12
020002neheee, 4
020002neheh, 4
020002nh5ek, 1
020002nh5ka, 1
020002nhe5h, 1
020002nheee, 1
020002q5hpg, 1
0200035e9aa, 1
