3451.47, 5113.05
10610.31, 4159.84
10312.87, 11938.20
3407.06, 7720.96
9997.26, 10742.61
6693.27, 4590.22
12745.65, 4819.28
7451.17, 8104.12
1907.45, 2835.30
9802.99, 7937.25
2590.73, 1979.66
9404.29, 9279.04
2749.53, 4532.08
10086.90, 10813.32
11765.04, 4519.54
7278.91, 8717.67
5644.07, 341.02
6300.28, 6940.70
12319.80, 5343.78
7559.05, 9849.69
10631.84, 3623.63
3121.75, 7789.86
9430.86, 9849.96
4461.37, 3458.12
12300.70, 6748.12
6977.77, 10163.58
5954.42, 368.34
13401.60, 6162.32
6614.61, 6223.32
12253.00, 3998.77
78.15, 3431.80
5526.49, 6445.04
11619.45, 5305.54
4934.87, 7726.43
4370.80, 1546.80
6567.91, 7387.92
684.52, 3848.22
12007.56, 6749.21
4262.26, 7601.39
10876.06, 7502.87
4221.21, 5543.71
12631.78, 6819.43
7707.07, 10298.13
5728.14, 2781.76
11068.53, 7079.27
809.48, 3502.74
7064.25, 5628.49
220.73, 3817.32
7508.53, 6937.68
1389.47, 4327.91
10718.95, 5383.09
7103.38, 10320.93
9601.42, 4743.46
8187.36, 10616.03
4778.46, 3473.30
11751.88, 6433.39
2787.16, 8275.12
11060.95, 7134.48
4232.38, 3856.28
9418.16, 7241.76
2250.63, 4835.99
9457.09, 10868.10
6733.98, 2201.00
12138.93, 8495.67
6229.55, 5648.46
12660.29, 6247.14
2662.13, 1664.03
7590.15, 6997.47
13643.63, 6160.96
4393.31, 6926.75
12026.26, 8399.54
6610.16, 5308.75
10565.85, 10026.10
1071.74, 5352.22
8792.74, 3073.34
9056.00, 9635.65
1931.45, 3535.57
8616.54, 4302.65
9084.31, 11797.15
6521.13, 3641.43
9006.27, 9998.41
2775.15, 3248.23
11316.16, 9557.19
5967.30, 375.14
5096.06, 6953.24
11339.77, 7087.24
7510.81, 2223.12
6439.75, 8727.41
11519.71, 3760.38
5657.33, 7979.29
6475.60, 1376.52
9240.35, 9200.13
2255.99, 6946.25
8363.03, 9775.81
5021.42, 1075.05
5992.41, 9638.66
13417.67, 8272.93
8648.97, 3714.87
3961.94, 8086.19
12544.52, 6884.59
7079.45, 10933.01
1560.42, 4060.76
7689.54, 7542.36
6126.73, 392.63
8767.96, 6778.99
1857.42, 6199.12
9348.01, 7658.79
3848.12, 2734.49
8736.96, 8886.41
6145.18, 3239.21
5423.66, 9862.44
10960.08, 4789.62
3664.52, 1691.45
8516.82, 5707.20
11707.73, 11751.12
4794.88, 5479.60
12137.42, 3321.79
1700.83, 3694.49
7967.63, 4548.05
8681.60, 11214.33
6397.82, 1681.38
10231.97, 8881.29
5114.56, 4527.48
8970.51, 10248.33
4961.03, 1903.10
12066.89, 10630.85
6170.84, 4890.12
13642.32, 5685.41
5158.71, 3267.59
9014.62, 9136.45
3243.62, 3417.29
11133.09, 6726.18
901.12, 4618.87
7556.52, 5992.09
3293.01, 1018.12
4498.71, 6934.93
12069.07, 5231.04
2251.49, 5929.96
8839.29, 5009.82
3787.64, 401.19
3873.55, 7437.41
12034.39, 11036.44
7513.74, 3896.55
9764.70, 11487.83
6229.63, 2737.51
4472.21, 8954.96
11509.59, 3773.17
6552.07, 10188.92
7464.74, 2429.12
8357.27, 12389.45
5377.20, 5364.05
11120.15, 8902.50
7191.72, 2185.45
8887.67, 8167.62
6628.96, 1528.05
3106.15, 6556.07
10229.11, 8672.76
7075.57, 3071.46
5152.06, 8852.26
11098.02, 4598.69
2453.45, 7510.61
8632.70, 6109.44
194.77, 4291.19
9227.49, 7991.72
5198.31, 2213.42
8440.17, 7706.32
5732.43, 45.43
9936.13, 6525.61
4071.01, 4202.95
8869.40, 7943.26
3207.79, 5947.46
10788.36, 6985.89
5086.18, 4090.28
11727.54, 6989.89
3293.07, 7208.65
9718.68, 4405.28
10929.59, 11549.59
7156.35, 6775.79
1042.55, 4949.11
11978.19, 7119.08
4370.85, 8282.92
11809.64, 11904.17
7368.85, 5502.19
